,HDAT,DayFl,harvDM_f_hay,n_cycle,texture,date,nyear_month_day,daytoflower,period
8684,1991-10-12,0,0.0,1,clayloam,1991-10-12,2000-10-12,,1991 - 1998
8685,1991-10-13,0,0.0,1,clayloam,1991-10-13,2000-10-13,,1991 - 1998
8686,1991-10-14,0,0.0,1,clayloam,1991-10-14,2000-10-14,,1991 - 1998
8687,1991-10-15,0,0.0,1,clayloam,1991-10-15,2000-10-15,,1991 - 1998
8688,1991-10-16,0,0.0,1,clayloam,1991-10-16,2000-10-16,,1991 - 1998
8689,1991-10-17,0,0.0,1,clayloam,1991-10-17,2000-10-17,,1991 - 1998
8690,1991-10-18,0,0.0,1,clayloam,1991-10-18,2000-10-18,,1991 - 1998
8691,1991-10-19,0,0.0,1,clayloam,1991-10-19,2000-10-19,,1991 - 1998
8692,1991-10-20,0,0.0,1,clayloam,1991-10-20,2000-10-20,,1991 - 1998
8693,1991-10-21,0,0.0,1,clayloam,1991-10-21,2000-10-21,,1991 - 1998
8694,1991-10-22,0,0.0,1,clayloam,1991-10-22,2000-10-22,,1991 - 1998
8695,1991-10-23,0,0.0,1,clayloam,1991-10-23,2000-10-23,,1991 - 1998
8696,1991-10-24,0,0.0,1,clayloam,1991-10-24,2000-10-24,,1991 - 1998
8697,1991-10-25,0,0.0,1,clayloam,1991-10-25,2000-10-25,,1991 - 1998
8698,1991-10-26,0,0.0,1,clayloam,1991-10-26,2000-10-26,,1991 - 1998
8699,1991-10-27,0,0.0,1,clayloam,1991-10-27,2000-10-27,,1991 - 1998
8700,1991-10-28,0,0.0,1,clayloam,1991-10-28,2000-10-28,,1991 - 1998
8701,1991-10-29,0,0.0,1,clayloam,1991-10-29,2000-10-29,,1991 - 1998
8702,1991-10-30,0,0.0,1,clayloam,1991-10-30,2000-10-30,,1991 - 1998
8703,1991-10-31,0,0.0,1,clayloam,1991-10-31,2000-10-31,,1991 - 1998
8704,1991-11-01,0,0.0,1,clayloam,1991-11-01,2000-11-01,,1991 - 1998
8705,1991-11-02,0,0.0,1,clayloam,1991-11-02,2000-11-02,,1991 - 1998
8706,1991-11-03,0,0.0,1,clayloam,1991-11-03,2000-11-03,,1991 - 1998
8707,1991-11-04,0,0.0,1,clayloam,1991-11-04,2000-11-04,,1991 - 1998
8708,1991-11-05,0,0.0,1,clayloam,1991-11-05,2000-11-05,,1991 - 1998
8709,1991-11-06,0,0.0,1,clayloam,1991-11-06,2000-11-06,,1991 - 1998
8710,1991-11-07,0,0.0,1,clayloam,1991-11-07,2000-11-07,,1991 - 1998
8711,1991-11-08,0,0.0,1,clayloam,1991-11-08,2000-11-08,,1991 - 1998
8712,1991-11-09,0,0.0,1,clayloam,1991-11-09,2000-11-9,,1991 - 1998
8713,1991-11-10,0,0.0,1,clayloam,1991-11-10,2000-11-10,,1991 - 1998
8714,1991-11-11,0,0.0,1,clayloam,1991-11-11,2000-11-11,,1991 - 1998
8715,1991-11-12,0,0.0,1,clayloam,1991-11-12,2000-11-12,,1991 - 1998
8716,1991-11-13,0,0.0,1,clayloam,1991-11-13,2000-11-13,,1991 - 1998
8717,1991-11-14,0,0.0,1,clayloam,1991-11-14,2000-11-14,,1991 - 1998
8718,1991-11-15,0,0.0,1,clayloam,1991-11-15,2000-11-15,,1991 - 1998
8719,1991-11-16,0,0.0,1,clayloam,1991-11-16,2000-11-16,,1991 - 1998
8720,1991-11-17,0,0.0,1,clayloam,1991-11-17,2000-11-17,,1991 - 1998
8721,1991-11-18,0,0.0,1,clayloam,1991-11-18,2000-11-18,,1991 - 1998
8722,1991-11-19,0,0.0,1,clayloam,1991-11-19,2000-11-19,,1991 - 1998
8723,1991-11-20,0,0.0,1,clayloam,1991-11-20,2000-11-20,,1991 - 1998
8724,1991-11-21,0,0.0,1,clayloam,1991-11-21,2000-11-21,,1991 - 1998
8725,1991-11-22,0,0.0,1,clayloam,1991-11-22,2000-11-22,,1991 - 1998
8726,1991-11-23,0,0.0,1,clayloam,1991-11-23,2000-11-23,,1991 - 1998
8727,1991-11-24,0,0.0,1,clayloam,1991-11-24,2000-11-24,,1991 - 1998
8728,1991-11-25,0,0.0,1,clayloam,1991-11-25,2000-11-25,,1991 - 1998
8729,1991-11-26,0,0.0,1,clayloam,1991-11-26,2000-11-26,,1991 - 1998
8730,1991-11-27,0,0.0,1,clayloam,1991-11-27,2000-11-27,,1991 - 1998
8731,1991-11-28,0,0.0,1,clayloam,1991-11-28,2000-11-28,,1991 - 1998
8732,1991-11-29,0,0.0,1,clayloam,1991-11-29,2000-11-29,,1991 - 1998
8733,1991-11-30,0,0.0,1,clayloam,1991-11-30,2000-11-30,,1991 - 1998
8734,1991-12-01,0,0.0,1,clayloam,1991-12-01,2000-12-01,,1991 - 1998
8735,1991-12-02,0,0.0,1,clayloam,1991-12-02,2000-12-02,,1991 - 1998
8736,1991-12-03,0,0.0,1,clayloam,1991-12-03,2000-12-03,,1991 - 1998
8737,1991-12-04,0,0.0,1,clayloam,1991-12-04,2000-12-04,,1991 - 1998
8738,1991-12-05,0,0.0,1,clayloam,1991-12-05,2000-12-05,,1991 - 1998
8739,1991-12-06,0,0.0,1,clayloam,1991-12-06,2000-12-06,,1991 - 1998
8740,1991-12-07,0,0.0,1,clayloam,1991-12-07,2000-12-07,,1991 - 1998
8741,1991-12-08,0,0.0,1,clayloam,1991-12-08,2000-12-08,,1991 - 1998
8742,1991-12-09,0,0.0,1,clayloam,1991-12-09,2000-12-9,,1991 - 1998
8743,1991-12-10,0,0.0,1,clayloam,1991-12-10,2000-12-10,,1991 - 1998
8744,1991-12-11,0,0.0,1,clayloam,1991-12-11,2000-12-11,,1991 - 1998
8745,1991-12-12,0,0.0,1,clayloam,1991-12-12,2000-12-12,,1991 - 1998
8746,1991-12-13,0,0.0,1,clayloam,1991-12-13,2000-12-13,,1991 - 1998
8747,1991-12-14,0,0.0,1,clayloam,1991-12-14,2000-12-14,,1991 - 1998
8748,1991-12-15,0,0.0,1,clayloam,1991-12-15,2000-12-15,,1991 - 1998
8749,1991-12-16,0,0.0,1,clayloam,1991-12-16,2000-12-16,,1991 - 1998
8750,1991-12-17,0,0.0,1,clayloam,1991-12-17,2000-12-17,,1991 - 1998
8751,1991-12-18,0,0.0,1,clayloam,1991-12-18,2000-12-18,,1991 - 1998
8752,1991-12-19,0,0.0,1,clayloam,1991-12-19,2000-12-19,,1991 - 1998
8753,1991-12-20,0,0.0,1,clayloam,1991-12-20,2000-12-20,,1991 - 1998
8754,1991-12-21,0,0.0,1,clayloam,1991-12-21,2000-12-21,,1991 - 1998
8755,1991-12-22,0,0.0,1,clayloam,1991-12-22,2000-12-22,,1991 - 1998
8756,1991-12-23,0,0.0,1,clayloam,1991-12-23,2000-12-23,,1991 - 1998
8757,1991-12-24,0,0.0,1,clayloam,1991-12-24,2000-12-24,,1991 - 1998
8758,1991-12-25,0,0.0,1,clayloam,1991-12-25,2000-12-25,,1991 - 1998
8759,1991-12-26,0,0.0,1,clayloam,1991-12-26,2000-12-26,,1991 - 1998
8760,1991-12-27,0,0.0,1,clayloam,1991-12-27,2000-12-27,,1991 - 1998
8761,1991-12-28,0,0.0,1,clayloam,1991-12-28,2000-12-28,,1991 - 1998
8762,1991-12-29,0,0.0,1,clayloam,1991-12-29,2000-12-29,,1991 - 1998
8763,1991-12-30,0,0.0,1,clayloam,1991-12-30,2000-12-30,,1991 - 1998
8764,1991-12-31,0,0.0,1,clayloam,1991-12-31,2000-12-31,,1991 - 1998
8765,1992-01-01,0,0.0,1,clayloam,1992-01-01,2001-01-01,,1991 - 1998
8766,1992-01-02,0,0.0,1,clayloam,1992-01-02,2001-01-02,,1991 - 1998
8767,1992-01-03,0,0.0,1,clayloam,1992-01-03,2001-01-03,,1991 - 1998
8768,1992-01-04,0,0.0,1,clayloam,1992-01-04,2001-01-04,,1991 - 1998
8769,1992-01-05,0,0.0,1,clayloam,1992-01-05,2001-01-05,,1991 - 1998
8770,1992-01-06,0,0.0,1,clayloam,1992-01-06,2001-01-06,,1991 - 1998
8771,1992-01-07,0,0.0,1,clayloam,1992-01-07,2001-01-07,,1991 - 1998
8772,1992-01-08,0,0.0,1,clayloam,1992-01-08,2001-01-08,,1991 - 1998
8773,1992-01-09,0,0.0,1,clayloam,1992-01-09,2001-01-9,,1991 - 1998
8774,1992-01-10,0,0.0,1,clayloam,1992-01-10,2001-01-10,,1991 - 1998
8775,1992-01-11,0,0.0,1,clayloam,1992-01-11,2001-01-11,,1991 - 1998
8776,1992-01-12,0,0.0,1,clayloam,1992-01-12,2001-01-12,,1991 - 1998
8777,1992-01-13,0,0.0,1,clayloam,1992-01-13,2001-01-13,,1991 - 1998
8778,1992-01-14,0,0.0,1,clayloam,1992-01-14,2001-01-14,,1991 - 1998
8779,1992-01-15,0,0.0,1,clayloam,1992-01-15,2001-01-15,,1991 - 1998
8780,1992-01-16,0,0.0,1,clayloam,1992-01-16,2001-01-16,,1991 - 1998
8781,1992-01-17,0,0.0,1,clayloam,1992-01-17,2001-01-17,,1991 - 1998
8782,1992-01-18,0,0.0,1,clayloam,1992-01-18,2001-01-18,,1991 - 1998
8783,1992-01-19,0,0.0,1,clayloam,1992-01-19,2001-01-19,,1991 - 1998
8784,1992-01-20,0,0.0,1,clayloam,1992-01-20,2001-01-20,,1991 - 1998
8785,1992-01-21,0,0.0,1,clayloam,1992-01-21,2001-01-21,,1991 - 1998
8786,1992-01-22,0,0.0,1,clayloam,1992-01-22,2001-01-22,,1991 - 1998
8787,1992-01-23,0,0.0,1,clayloam,1992-01-23,2001-01-23,,1991 - 1998
8788,1992-01-24,0,0.0,1,clayloam,1992-01-24,2001-01-24,,1991 - 1998
8789,1992-01-25,0,0.0,1,clayloam,1992-01-25,2001-01-25,,1991 - 1998
